Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,RPA4881,N345NG,DH8D,Departure,EWR,PIT,Gate_109,Gate_109,4L,4L,ZIMMZ,,9/20/15 16:07,,9/20/15 15:04,9/20/15 15:48,9/20/15 15:52,9/20/15 16:07,9/20/15 17:15,,9/20/15 16:41,9/20/15 17:20,0:19:50
United Airlines,ASQ4212,N13913,E145,Departure,EWR,MKE,Gate_24,Gate_24,4L,4L,COATE,,9/20/15 16:09,,9/20/15 15:55,9/20/15 15:51,9/20/15 15:55,9/20/15 16:09,9/20/15 17:54,,9/20/15 18:17,9/20/15 17:58,0:17:56
United Airlines,UCA3596,N367PH,DH8B,Departure,EWR,RIC,Gate_85,Gate_85,4L,4L,ELVAE,,9/20/15 16:09,,9/20/15 15:55,9/20/15 15:54,9/20/15 15:57,9/20/15 16:09,9/20/15 17:20,,9/20/15 17:38,9/20/15 17:28,0:15:11
United Airlines,UCA4828,N360PH,DH8B,Departure,EWR,IAD,Gate_87,Gate_87,4L,4L,ELIOT,,9/20/15 16:11,,9/20/15 15:41,9/20/15 15:59,9/20/15 16:00,9/20/15 16:11,9/20/15 17:09,,9/20/15 17:15,9/20/15 17:16,0:12:06
United Airlines,TCF5155,N856RW,E170,Departure,EWR,DFW,Gate_103,Gate_103,4L,4L,PARKE,,9/20/15 16:14,,9/20/15 15:50,9/20/15 15:56,9/20/15 15:58,9/20/15 16:14,9/20/15 19:38,,9/20/15 19:42,9/20/15 19:46,0:17:19
General Aviation,AAL275,N819NN,B738,Departure,EWR,DFW,Gate_33,Gate_33,4L,4L,LANNA,,9/20/15 16:16,,9/20/15 15:15,9/20/15 15:28,9/20/15 15:32,9/20/15 16:16,9/20/15 19:34,,9/20/15 19:14,,0:47:22
United Airlines,ASQ4537,N13994,E145,Departure,EWR,GRR,Gate_26X,Gate_26X,4L,4L,COATE,,9/20/15 16:17,,9/20/15 15:56,9/20/15 16:05,9/20/15 16:07,9/20/15 16:17,9/20/15 17:47,,9/20/15 18:01,9/20/15 17:52,0:11:33
United Airlines,UAL1021,N69816,B739,Departure,EWR,PTY,Gate_80,Gate_80,4L,4L,ELVAE,,9/20/15 16:18,,9/20/15 15:55,9/20/15 16:06,9/20/15 16:08,9/20/15 16:18,9/20/15 20:48,,9/20/15 21:15,9/20/15 20:55,0:12:48
United Airlines,UAL1243,N76516,B738,Departure,EWR,LAX,Gate_132,Gate_132,4L,4L,NEWEL,,9/20/15 16:20,,9/20/15 16:00,9/20/15 16:01,9/20/15 16:06,9/20/15 16:20,9/20/15 21:42,,9/20/15 22:04,9/20/15 21:51,0:19:14
United Airlines,ASQ4113,N14173,E45X,Departure,EWR,IND,Gate_22,Gate_22,4L,4L,ZIMMZ,,9/20/15 16:21,,9/20/15 16:15,9/20/15 16:11,9/20/15 16:14,9/20/15 16:21,9/20/15 18:03,,9/20/15 18:27,9/20/15 18:09,0:10:17
United Airlines,UAL8282,N73278,B738,Departure,EWR,SJO,,,4L,4L,ELVAE,,9/20/15 16:26,,9/20/15 15:55,,,9/20/15 16:26,,,,,
United Airlines,UAL491,N816UA,A319,Departure,EWR,AUS,Gate_71,Gate_71,4L,4L,LANNA,,9/20/15 16:28,,9/20/15 16:00,9/20/15 16:06,9/20/15 16:13,9/20/15 16:28,9/20/15 19:56,,9/20/15 19:58,9/20/15 20:01,0:21:35
United Airlines,ASQ2315,N14902,E145,Departure,EWR,BMG,Gate_25A,Gate_25A,4L,4L,ZIMMZ,,9/20/15 16:29,,9/20/15 16:05,9/20/15 16:12,9/20/15 16:16,9/20/15 16:29,9/20/15 18:20,,9/20/15 18:00,9/20/15 18:25,0:16:15
United Airlines,UAL1554,N37471,B739,Departure,EWR,IAH,Gate_94,Gate_94,4L,4L,LANNA,,9/20/15 16:31,,9/20/15 16:00,9/20/15 16:08,9/20/15 16:13,9/20/15 16:31,9/20/15 19:38,,9/20/15 19:52,9/20/15 19:43,0:22:13
General Aviation,UCA780,N358PH,DH8B,Departure,EWR,ITH,,,4L,4L,HAAYS,,9/20/15 16:32,,9/20/15 16:15,,,9/20/15 16:32,9/20/15 17:18,,,,
United Airlines,ASQ4352,N16559,E145,Departure,EWR,CVG,Gate_27A,Gate_27A,4L,4L,PARKE,,9/20/15 16:34,,9/20/15 16:16,9/20/15 16:23,9/20/15 16:23,9/20/15 16:34,9/20/15 18:05,,9/20/15 18:20,9/20/15 18:10,0:11:15
United Airlines,UCA4842,N876CA,DH8C,Departure,EWR,BUF,Gate_115,Gate_115,4L,4L,COATE,,9/20/15 16:35,,9/20/15 16:26,9/20/15 16:23,9/20/15 16:25,9/20/15 16:35,9/20/15 17:43,,9/20/15 18:04,9/20/15 17:49,0:11:51
United Airlines,ASQ4733,N16976,E145,Departure,EWR,SDF,Gate_26,Gate_26,4L,4L,PARKE,,9/20/15 16:38,,9/20/15 16:13,9/20/15 16:20,9/20/15 16:24,9/20/15 16:38,9/20/15 18:23,,9/20/15 18:26,9/20/15 18:29,0:17:23
United Airlines,ASQ4374,N14920,E145,Departure,EWR,BTV,Gate_28,Gate_28,4L,4L,GREKI,,9/20/15 16:41,,9/20/15 16:32,9/20/15 16:28,9/20/15 16:29,9/20/15 16:41,9/20/15 17:26,,9/20/15 17:47,9/20/15 17:31,0:12:35
United Airlines,RPA3311,N652PY,E170,Departure,MSY,EWR,Gate_70,,4L,4L,GCV,,9/20/15 16:42,,9/19/15 13:00,9/19/15 13:35,,9/20/15 16:42,9/19/15 16:24,,9/19/15 16:02,9/19/15 16:32,
General Aviation,JZA493,C-FIJA,CRJ2,Departure,EWR,YUL,Gate_12,,4L,4L,GREKI,,9/20/15 16:43,,9/20/15 16:00,9/20/15 16:28,9/20/15 14:50,9/20/15 16:43,9/20/15 17:41,,9/20/15 17:19,,1:57:26
General Aviation,PDT4882,N941HA,DH8A,Departure,EWR,PHL,Gate_39,Gate_39,4L,4L,SBJ,,9/20/15 16:45,,9/20/15 16:30,9/20/15 16:24,9/20/15 16:29,9/20/15 16:45,9/20/15 17:22,,9/20/15 17:29,9/20/15 17:33,0:20:25
General Aviation,AIC144,VT-ALK,B77W,Departure,EWR,BOM,,,4L,4L,MERIT,,9/20/15 16:47,,9/20/15 16:25,,,9/20/15 16:47,,,9/21/15 7:40,,
United Airlines,RPA3897,N195WQ,DH8D,Departure,EWR,PIT,Gate_109,Gate_109,4L,4L,ZIMMZ,,9/20/15 16:49,,9/20/15 16:30,9/20/15 16:35,9/20/15 16:37,9/20/15 16:49,9/20/15 17:52,,9/20/15 18:05,9/20/15 17:59,0:13:43
General Aviation,EJA366,N366QS,E55P,Departure,EWR,BTV,,,4L,4L,GREKI,,9/20/15 16:51,,9/20/15 16:15,,,9/20/15 16:51,9/20/15 17:37,,,,
United Airlines,ASQ4440,N22909,E145,Departure,EWR,BNA,Gate_20A,Gate_20A,4L,4L,PARKE,,9/20/15 16:54,,9/20/15 16:44,9/20/15 16:47,9/20/15 16:51,9/20/15 16:54,9/20/15 18:54,,9/20/15 19:12,9/20/15 19:02,0:06:47
General Aviation,AAL640,N193UW,A321,Departure,EWR,PHX,,,4L,4L,NEWEL,,9/20/15 16:56,,9/20/15 16:45,,,9/20/15 16:56,9/20/15 21:27,,,,
General Aviation,JBU327,N652JB,A320,Departure,EWR,MCO,Gate_17,Gate_17,4L,4L,ELVAE,,9/20/15 16:57,,9/20/15 16:49,9/20/15 16:45,9/20/15 16:52,9/20/15 16:57,9/20/15 19:12,,9/20/15 19:33,,0:12:14
United Airlines,ASQ4171,N16170,E45X,Departure,EWR,MSN,Gate_27,Gate_27,4L,4L,COATE,,9/20/15 16:58,,9/20/15 16:49,9/20/15 16:51,9/20/15 16:55,9/20/15 16:58,9/20/15 18:54,,9/20/15 19:17,9/20/15 18:58,0:07:39
General Aviation,DAL1335,N970AT,B712,Departure,EWR,DTW,Gate_46B,Gate_46B,4L,4L,GAYEL,Domestic,9/20/15 17:01,9/20/15,9/20/15 16:48,9/20/15 16:53,9/20/15 16:56,9/20/15 17:01,9/20/15 18:27,,9/20/15 18:43,,0:08:19
United Airlines,UAL1068,N76529,B738,Departure,EWR,BOG,Gate_86,Gate_86,4L,4L,ELVAE,,9/20/15 17:02,,9/20/15 16:34,9/20/15 16:50,9/20/15 16:56,9/20/15 17:02,9/20/15 22:16,,9/20/15 22:34,9/20/15 22:26,0:12:24
United Airlines,RPA3886,N339NG,DH8D,Departure,EWR,DCA,Gate_105,Gate_105,4L,4L,BIGGY,,9/20/15 17:04,,9/20/15 16:42,9/20/15 16:49,9/20/15 16:54,9/20/15 17:04,9/20/15 17:52,,9/20/15 17:59,9/20/15 17:57,0:14:59
United Airlines,TCF3564,N650RW,E170,Departure,EWR,MSY,Gate_24A,Gate_24A,4L,4L,LANNA,,9/20/15 17:06,,9/20/15 16:50,9/20/15 16:57,9/20/15 17:02,9/20/15 17:06,9/20/15 19:53,,9/20/15 20:06,9/20/15 19:59,0:09:16
United Airlines,TCF3511,N646RW,E170,Departure,EWR,YYZ,Gate_23A,Gate_23A,4L,4L,GAYEL,,9/20/15 17:08,,9/20/15 16:59,9/20/15 16:59,9/20/15 17:03,9/20/15 17:08,9/20/15 18:10,,9/20/15 18:28,9/20/15 18:18,0:09:39
General Aviation,SWA359,N289CT,B737,Departure,EWR,HOU,Gate_14,Gate_14,4L,4L,LANNA,,9/20/15 17:09,,9/20/15 17:00,9/20/15 17:00,9/20/15 17:02,9/20/15 17:09,,,9/20/15 20:55,,0:09:28
United Airlines,RPA3305,N857RW,ERJ 170-100 SE,Departure,EWR,YYT,Gate_101,Gate_101,4L,4L,MERIT,,9/20/15 17:11,,9/20/15 16:30,9/20/15 16:55,9/20/15 17:00,9/20/15 17:11,9/20/15 19:30,,9/20/15 19:40,9/20/15 19:34,0:15:31
General Aviation,DLH409,D-AIGT,A343,Departure,EWR,DUS,Gate_63,Gate_63,4L,4L,GREKI,International,9/20/15 17:12,9/20/15,9/20/15 16:25,9/20/15 16:44,9/20/15 16:49,9/20/15 17:12,,,9/21/15 0:05,,0:28:04
General Aviation,DAL696,N960AT,B712,Departure,EWR,ATL,Gate_41B,Gate_41B,4L,4L,LANNA,Domestic,9/20/15 17:14,9/20/15,9/20/15 16:45,9/20/15 16:49,9/20/15 16:55,9/20/15 17:14,9/20/15 19:06,,9/20/15 19:25,,0:24:30
United Airlines,UAL1997,N12221,B738,Departure,EWR,MCO,Gate_82,Gate_82,4L,4L,ELVAE,,9/20/15 17:16,,9/20/15 16:59,9/20/15 17:01,9/20/15 17:06,9/20/15 17:16,9/20/15 19:29,,9/20/15 19:54,9/20/15 19:35,0:14:10
United Airlines,UAL84,N78001,B772,Departure,EWR,TLV,Gate_138,Gate_138,4L,4L,MERIT,,9/20/15 17:17,,9/20/15 16:45,9/20/15 17:00,9/20/15 17:00,9/20/15 17:17,9/21/15 3:04,,9/21/15 3:15,9/21/15 3:10,0:16:29
General Aviation,JBU543,N589JB,A320,Departure,EWR,PBI,Gate_16,Gate_16,4L,4L,ELVAE,,9/20/15 17:18,,9/20/15 17:00,9/20/15 17:02,9/20/15 17:09,9/20/15 17:18,9/20/15 19:35,,9/20/15 19:48,,0:16:47
United Airlines,RPA3288,N725YX,E170,Departure,EWR,DTW,Gate_113,Gate_113,4L,4L,GAYEL,,9/20/15 17:20,,9/20/15 16:30,9/20/15 17:08,9/20/15 17:08,9/20/15 17:20,9/20/15 18:52,,9/20/15 18:29,9/20/15 18:57,0:11:35
United Airlines,UAL1947,N36447,B739,Departure,EWR,SFO,Gate_84,Gate_84,4L,4L,COATE,,9/20/15 17:23,,9/20/15 16:40,9/20/15 17:07,9/20/15 17:11,9/20/15 17:23,9/20/15 22:42,,9/20/15 23:01,9/20/15 22:48,0:15:47
General Aviation,ASA11,N431AS,B739,Departure,EWR,SEA,Gate_30,Gate_30,4L,4L,GAYEL,,9/20/15 17:24,,9/20/15 17:20,9/20/15 17:15,9/20/15 17:16,9/20/15 17:24,9/20/15 22:47,,9/20/15 23:35,,0:09:21
United Airlines,UAL1199,N29124,B752,Departure,EWR,LAX,Gate_133,Gate_133,4L,4L,COATE,,9/20/15 17:25,,9/20/15 16:57,9/20/15 17:08,9/20/15 17:14,9/20/15 17:25,9/20/15 22:47,,9/20/15 23:00,9/20/15 23:01,0:17:03
United Airlines,ASQ5678,N14198,EMB-145XR,Departure,EWR,PWM,Gate_26A,Gate_26A,4L,4L,GREKI,,9/20/15 17:27,,9/20/15 16:50,9/20/15 17:24,,9/20/15 17:27,9/20/15 18:14,,9/20/15 18:09,9/20/15 18:18,0:02:33
General Aviation,FLG3904,N918XJ,CRJ9,Departure,EWR,CVG,Gate_47,Gate_47,4L,4L,PARKE,,9/20/15 17:28,,9/20/15 17:24,9/20/15 17:22,9/20/15 17:23,9/20/15 17:28,9/20/15 19:01,,9/20/15 19:25,9/20/15 19:06,0:05:33
General Aviation,SAS904,LN-RKO,A333,Departure,EWR,ARN,,,4L,4L,MERIT,International,9/20/15 17:29,9/20/15,9/20/15 17:20,9/20/15 17:15,,9/20/15 17:29,,,9/21/15 1:15,,
United Airlines,UCA5000,N368PH,DH8B,Departure,EWR,SYR,Gate_87,Gate_87,4L,4L,HAAYS,,9/20/15 17:31,,9/20/15 16:59,9/20/15 17:22,9/20/15 17:23,9/20/15 17:31,9/20/15 18:17,,9/20/15 18:27,9/20/15 18:21,0:08:53
United Airlines,UAL1289,N36272,B738,Departure,EWR,MSP,Gate_134,Gate_134,4L,4L,GAYEL,,9/20/15 17:33,,9/20/15 16:54,9/20/15 17:18,9/20/15 17:22,9/20/15 17:33,9/20/15 20:00,,9/20/15 19:57,9/20/15 20:07,0:15:19
General Aviation,JBU2580,N307JB,E190,Departure,EWR,BOS,Gate_17,Gate_17,4L,4L,MERIT,,9/20/15 17:34,,9/20/15 17:30,9/20/15 17:27,9/20/15 17:29,9/20/15 17:34,9/20/15 18:12,,9/20/15 18:47,,0:07:31
United Airlines,RPA4894,N328NG,DH8D,Departure,EWR,PWM,Gate_107,Gate_107,4L,4L,BREZY,,9/20/15 17:35,,9/20/15 17:27,9/20/15 17:28,9/20/15 17:29,9/20/15 17:35,9/20/15 18:32,,9/20/15 18:51,9/20/15 18:35,0:07:34
General Aviation,DAL1181,N367NW,A320,Departure,EWR,SLC,Gate_40,Gate_40,4L,4L,COATE,Domestic,9/20/15 17:37,9/20/15,9/20/15 17:30,9/20/15 17:28,9/20/15 17:32,9/20/15 17:37,9/20/15 21:55,,9/20/15 22:36,,0:09:39
United Airlines,TCF3472,N647RW,E170,Departure,EWR,CMH,Gate_25,Gate_25,4L,4L,ZIMMZ,,9/20/15 17:39,,9/20/15 17:27,9/20/15 17:30,9/20/15 17:33,9/20/15 17:39,9/20/15 18:58,,9/20/15 19:16,9/20/15 19:02,0:09:02
General Aviation,UCA848,N838CA,DH8C,Departure,EWR,BUF,,,4L,4L,COATE,,9/20/15 17:39,,9/20/15 17:31,,,9/20/15 17:39,9/20/15 18:46,,,,
United Airlines,ASQ4502,N14977,E145,Departure,EWR,BNA,Gate_23,Gate_23,4L,4L,PARKE,,9/20/15 17:42,,9/20/15 17:21,9/20/15 17:29,9/20/15 17:34,9/20/15 17:42,9/20/15 19:40,,9/20/15 19:49,9/20/15 19:47,0:12:06
United Airlines,ASQ4201,N15912,E145,Departure,EWR,DAY,Gate_20,Gate_20,4L,4L,ZIMMZ,,9/20/15 17:43,,9/20/15 17:30,9/20/15 17:32,9/20/15 17:34,9/20/15 17:43,9/20/15 19:11,,9/20/15 19:26,9/20/15 19:37,0:10:51
General Aviation,VRD193,N849VA,A320,Departure,EWR,SFO,Gate_32,Gate_32,4L,4L,NEWEL,,9/20/15 17:44,,9/20/15 17:29,9/20/15 17:30,9/20/15 17:35,9/20/15 17:44,9/20/15 23:19,,9/20/15 23:55,,0:14:53
General Aviation,AAL0000,N675AW,A320-232,Departure,,,,,4L,4L,,,9/20/15 17:46,,,,,9/20/15 17:46,,,,,
General Aviation,SAS910,LN-RKN,A333,Departure,EWR,CPH,,,4L,4L,MERIT,International,9/20/15 17:47,9/20/15,9/20/15 17:40,9/20/15 17:29,,9/20/15 17:47,,,9/21/15 1:15,,
United Airlines,UAL1065,N27724,B737,Departure,EWR,MEX,Gate_127,Gate_127,4L,4L,BIGGY,,9/20/15 17:49,,9/20/15 17:35,9/20/15 17:29,9/20/15 17:29,9/20/15 17:49,9/20/15 22:23,,9/20/15 22:50,9/20/15 22:31,0:19:49
United Airlines,UAL1560,N78438,B739,Departure,EWR,SEA,Gate_72,Gate_72,4L,4L,GAYEL,,9/20/15 17:50,,9/20/15 17:25,9/20/15 17:29,9/20/15 17:34,9/20/15 17:50,9/20/15 23:15,,9/20/15 23:27,9/20/15 23:28,0:21:27
United Airlines,ASQ4122,N12540,E145,Departure,EWR,CLT,Gate_21,Gate_21,4L,4L,BIGGY,,9/20/15 17:51,,9/20/15 17:24,9/20/15 17:40,9/20/15 17:41,9/20/15 17:51,9/20/15 19:22,,9/20/15 19:25,9/20/15 19:26,0:11:15
General Aviation,SWA1345,N931WN,B737,Departure,EWR,STL,Gate_15,Gate_15,4L,4L,ZIMMZ,,9/20/15 17:53,,9/20/15 17:40,9/20/15 17:40,9/20/15 17:42,9/20/15 17:53,,,9/20/15 20:25,,0:13:09
United Airlines,RPA3889,N34NG,DH8D,Departure,EWR,RDU,Gate_70,Gate_70,4L,4L,ELVAE,,9/20/15 17:54,,9/20/15 17:35,9/20/15 17:42,9/20/15 17:42,9/20/15 17:54,9/20/15 19:15,,9/20/15 19:30,9/20/15 19:21,0:12:02
United Airlines,TCF5131,N645RW,E170,Departure,EWR,STL,Gate_24A,Gate_24A,4L,4L,ZIMMZ,,9/20/15 17:55,,9/20/15 17:39,9/20/15 17:41,9/20/15 17:44,9/20/15 17:55,9/20/15 20:13,,9/20/15 20:26,9/20/15 20:23,0:14:31
General Aviation,VRD169,N361VA,A320,Departure,EWR,LAX,Gate_31,Gate_31,4L,4L,NEWEL,,9/20/15 17:56,,9/20/15 17:45,9/20/15 17:42,9/20/15 17:47,9/20/15 17:56,9/20/15 23:23,,9/20/15 23:45,,0:14:14
United Airlines,TCF5133,N641RW,E170,Departure,EWR,ROC,Gate_22,Gate_22,4L,4L,NEION,,9/20/15 17:57,,9/20/15 17:45,9/20/15 17:44,9/20/15 17:48,9/20/15 17:57,9/20/15 18:41,,9/20/15 19:00,9/20/15 18:46,0:13:29
United Airlines,UAL1022,N66814,B739,Departure,EWR,IAH,Gate_73,Gate_73,4L,4L,LANNA,,9/20/15 17:59,,9/20/15 17:29,9/20/15 17:40,9/20/15 17:47,9/20/15 17:59,9/20/15 21:10,,9/20/15 21:23,9/20/15 21:16,0:19:27
United Airlines,RPA4906,N188WQ,DH8D,Departure,EWR,BWI,Gate_111,Gate_111,4L,4L,BIGGY,,9/20/15 18:00,,9/20/15 17:30,9/20/15 17:43,9/20/15 17:46,9/20/15 18:00,9/20/15 18:39,,9/20/15 18:43,9/20/15 18:42,0:16:20
General Aviation,AUA90,OE-LAY,B763,Departure,EWR,VIE,,,4L,4L,GREKI,,9/20/15 18:01,,9/20/15 17:55,9/20/15 17:41,,9/20/15 18:01,,,9/21/15 2:35,,
United Airlines,UAL106,N76062,B764,Departure,EWR,MUC,Gate_110,Gate_110,4L,4L,MERIT,,9/20/15 18:03,,9/20/15 17:35,9/20/15 17:41,9/20/15 17:48,9/20/15 18:03,9/21/15 1:16,,9/21/15 1:40,9/21/15 1:22,0:22:19
United Airlines,UAL1064,N13716,B737,Departure,EWR,CLE,Gate_97,Gate_97,4L,4L,NEWEL,,9/20/15 18:05,,9/20/15 17:59,9/20/15 17:51,9/20/15 17:57,9/20/15 18:05,9/20/15 19:09,,9/20/15 19:45,9/20/15 19:13,0:13:17
United Airlines,UAL956,N648UA,B763,Departure,EWR,GVA,Gate_125,Gate_125,4L,4L,MERIT,,9/20/15 18:06,,9/20/15 17:55,9/20/15 17:49,9/20/15 17:55,9/20/15 18:06,9/21/15 1:02,,9/21/15 1:45,9/21/15 1:09,0:16:24
United Airlines,UAL240,N824UA,A319,Departure,EWR,SAT,Gate_71,,4L,4L,LANNA,,9/20/15 18:08,,9/20/15 17:59,9/20/15 17:46,9/20/15 18:01,9/20/15 18:08,9/20/15 21:54,,9/20/15 22:14,9/20/15 21:57,0:11:42
United Airlines,ASQ4439,N13538,E145,Departure,EWR,GSO,Gate_26,Gate_26,4L,4L,BIGGY,,9/20/15 18:09,,9/20/15 17:42,9/20/15 17:59,9/20/15 18:03,9/20/15 18:09,9/20/15 19:22,,9/20/15 19:20,9/20/15 19:25,0:09:29
General Aviation,SWA2084,N743SW,B737,Departure,EWR,DEN,Gate_14,Gate_14,4L,4L,NEWEL,,9/20/15 18:11,,9/20/15 18:00,9/20/15 18:01,9/20/15 18:03,9/20/15 18:11,9/20/15 21:50,,9/20/15 22:25,,0:10:16
United Airlines,UAL1188,N16713,B737,Departure,EWR,ATL,Gate_81,Gate_81,4L,4L,LANNA,,9/20/15 18:12,,9/20/15 17:55,9/20/15 17:52,9/20/15 17:56,9/20/15 18:12,9/20/15 20:00,,9/20/15 20:31,9/20/15 20:07,0:19:41
General Aviation,AAL1196,N835NN,B738,Departure,EWR,DFW,Gate_34,Gate_34,4L,4L,PARKE,,9/20/15 18:13,,9/20/15 18:00,9/20/15 18:01,9/20/15 18:05,9/20/15 18:13,9/20/15 21:25,,9/20/15 22:03,,0:11:57
United Airlines,UAL1641,N69830,B739,Departure,EWR,SFO,Gate_96,Gate_96,4L,4L,COATE,,9/20/15 18:14,,9/20/15 17:59,9/20/15 18:01,9/20/15 18:03,9/20/15 18:14,9/20/15 23:32,,9/21/15 0:26,9/20/15 23:43,0:13:46
General Aviation,DLH403,D-ABYP,B748,Departure,EWR,FRA,Gate_62,Gate_62,4L,4L,MERIT,International,9/20/15 18:16,9/20/15,9/20/15 18:05,9/20/15 17:59,9/20/15 18:06,9/20/15 18:16,,,9/21/15 1:45,,0:16:11
United Airlines,UAL1211,N14242,B738,Departure,EWR,LAS,Gate_103,Gate_103,4L,4L,NEWEL,,9/20/15 18:18,,9/20/15 17:45,9/20/15 18:00,9/20/15 18:05,9/20/15 18:18,9/20/15 23:11,,9/20/15 23:29,9/20/15 23:17,0:17:47
General Aviation,DAL2537,N977DL,B763,Departure,EWR,ATL,Gate_41B,Gate_41B,4L,4L,LANNA,Domestic,9/20/15 18:19,9/20/15,9/20/15 17:59,9/20/15 17:59,9/20/15 18:03,9/20/15 18:19,9/20/15 20:10,,9/20/15 20:44,,0:19:58
General Aviation,POE140,C-GKQD,DH8D,Departure,EWR,YTZ,Gate_51,,4L,4L,COATE,International,9/20/15 18:20,9/20/15,9/20/15 18:15,9/20/15 18:15,,9/20/15 18:20,9/20/15 19:24,,9/20/15 19:45,9/20/15 19:29,
United Airlines,UAL70,N26123,B752,Departure,EWR,AMS,Gate_83,Gate_83,4L,4L,MERIT,,9/20/15 18:22,,9/20/15 18:05,9/20/15 18:03,9/20/15 18:12,9/20/15 18:22,9/21/15 1:04,,9/21/15 1:45,9/21/15 1:21,0:18:05
United Airlines,ASQ3954,N16981,E145,Departure,EWR,GSP,Gate_28,Gate_28,4L,4L,BIGGY,,9/20/15 18:22,,9/20/15 18:13,9/20/15 18:12,9/20/15 18:13,9/20/15 18:22,9/20/15 19:51,,9/20/15 20:13,9/20/15 19:54,0:10:23
United Airlines,UAL962,N659UA,B763,Departure,EWR,TXL,Gate_130,Gate_130,4L,4L,MERIT,,9/20/15 18:24,,9/20/15 18:05,9/20/15 18:01,9/20/15 18:11,9/20/15 18:24,9/21/15 1:40,,9/21/15 2:00,9/21/15 1:46,0:23:45
General Aviation,ACA549,C-FZUH,A319,Departure,EWR,YVR,Gate_12,Gate_12,4L,4L,GAYEL,,9/20/15 18:27,,9/20/15 18:10,9/20/15 18:16,9/20/15 18:18,9/20/15 18:27,9/21/15 0:02,,9/21/15 0:16,,0:11:07
United Airlines,UAL74,N19141,B752,Departure,EWR,HAM,Gate_94,Gate_94,4L,4L,MERIT,,9/20/15 18:28,,9/20/15 17:45,9/20/15 18:08,9/20/15 18:13,9/20/15 18:28,9/21/15 1:21,,9/21/15 1:30,9/21/15 1:28,0:19:16
General Aviation,TAP204,CS-TOL,A332,Departure,EWR,LIS,,,4L,4L,MERIT,International,9/20/15 18:30,9/20/15,9/20/15 17:55,,,9/20/15 18:30,,,9/21/15 1:05,,
United Airlines,UAL110,N14102,B752,Departure,EWR,LHR,Gate_136,Gate_66,4L,4L,GREKI,,9/20/15 18:32,,9/20/15 18:15,9/20/15 18:26,,9/20/15 18:32,9/21/15 1:04,,9/21/15 1:45,9/21/15 1:14,0:05:52
General Aviation,JAI227,VT-JWR,A333,Departure,EWR,BRU,,,4L,4L,MERIT,International,9/20/15 18:33,9/20/15,9/20/15 18:30,,,9/20/15 18:33,,,9/21/15 1:50,,
United Airlines,RPA3277,N723YX,E170,Departure,EWR,PIT,Gate_85,Gate_85,4L,4L,ZIMMZ,,9/20/15 18:34,,9/20/15 18:02,9/20/15 18:23,9/20/15 18:28,9/20/15 18:34,9/20/15 19:26,,9/20/15 19:30,9/20/15 19:33,0:11:14
United Airlines,ASQ4373,N14203,E45X,Departure,EWR,DCA,Gate_26A,Gate_26A,4L,4L,BIGGY,,9/20/15 18:35,,9/20/15 18:18,9/20/15 18:15,9/20/15 18:18,9/20/15 18:35,9/20/15 19:15,,9/20/15 19:39,9/20/15 19:24,0:19:57
United Airlines,UAL1469,N64844,B739,Departure,EWR,BOS,Gate_109,Gate_109,4L,4L,MERIT,,9/20/15 18:37,,9/20/15 18:12,9/20/15 18:14,9/20/15 18:18,9/20/15 18:37,9/20/15 19:12,,9/20/15 19:28,9/20/15 19:20,0:22:45
United Airlines,UAL1284,N66808,B739,Departure,EWR,LAX,Gate_135,Gate_135,4L,4L,NEWEL,,9/20/15 18:39,,9/20/15 18:08,9/20/15 18:15,9/20/15 18:20,9/20/15 18:39,9/20/15 23:50,,9/21/15 0:15,9/21/15 0:00,0:23:38
General Aviation,DAL148,N177DN,B763,Departure,EWR,AMS,*46,,4L,4L,MERIT,International,9/20/15 18:40,9/20/15,9/20/15 18:05,9/20/15 18:10,,9/20/15 18:40,,,9/21/15 1:45,,
General Aviation,SWA2460,N930WN,B737,Departure,EWR,MDW,Gate_10,Gate_10,4L,4L,NEWEL,,9/20/15 18:43,,9/20/15 18:25,9/20/15 18:29,9/20/15 18:33,9/20/15 18:43,,,9/20/15 20:55,,0:14:15
General Aviation,DAL8865,N129DL,767-332,Departure,EWR,ATL,Gate_44,Gate_44,4L,4L,LANNA,Domestic,9/20/15 18:46,9/20/15,9/20/15 18:00,9/20/15 18:16,9/20/15 18:21,9/20/15 18:46,9/20/15 20:36,,9/20/15 20:40,,0:30:06
General Aviation,BAW0000,G-ZZZA,,Departure,,,,Gate_53,4L,4L,,,9/20/15 18:47,,,9/20/15 18:25,9/20/15 18:32,9/20/15 18:47,,,,,0:22:17
United Airlines,ASQ4500,N11539,E145,Departure,EWR,RIC,Gate_27,Gate_27,4L,4L,ELVAE,,9/20/15 18:49,,9/20/15 18:35,9/20/15 18:32,9/20/15 18:34,9/20/15 18:49,9/20/15 19:43,,9/20/15 20:09,9/20/15 19:49,0:17:28
